path	file	sample	resolution	is_targeted	is_wgs
wg_transcripts.bed	reference	wg_annotation_file	wg	FALSE	TRUE
cytoBand.txt	reference	cytobands_file	wg	FALSE	TRUE
chromInfo.txt	reference	chrom_info_file	wg	FALSE	TRUE
targeted_transcripts.bed	reference	targeted_annotation_file	targeted	TRUE	FALSE
n10_wg_coarse.tsv	counts	n10	wg_coarse	FALSE	TRUE
n10_wg_medium.tsv	counts	n10	wg_medium	FALSE	TRUE
n10_wg_fine.tsv	counts	n10	wg_fine	FALSE	TRUE
n10_targeted.tsv	counts	n10	targeted	TRUE	FALSE
n11_wg_coarse.tsv	counts	n11	wg_coarse	FALSE	TRUE
n11_wg_medium.tsv	counts	n11	wg_medium	FALSE	TRUE
n11_wg_fine.tsv	counts	n11	wg_fine	FALSE	TRUE
n11_targeted.tsv	counts	n11	targeted	TRUE	FALSE
n12_wg_coarse.tsv	counts	n12	wg_coarse	FALSE	TRUE
n12_wg_medium.tsv	counts	n12	wg_medium	FALSE	TRUE
n12_wg_fine.tsv	counts	n12	wg_fine	FALSE	TRUE
n12_targeted.tsv	counts	n12	targeted	TRUE	FALSE
n8_wg_coarse.tsv	counts	n8	wg_coarse	FALSE	TRUE
n8_wg_medium.tsv	counts	n8	wg_medium	FALSE	TRUE
n8_wg_fine.tsv	counts	n8	wg_fine	FALSE	TRUE
n8_targeted.tsv	counts	n8	targeted	TRUE	FALSE
n9_wg_coarse.tsv	counts	n9	wg_coarse	FALSE	TRUE
n9_wg_medium.tsv	counts	n9	wg_medium	FALSE	TRUE
n9_wg_fine.tsv	counts	n9	wg_fine	FALSE	TRUE
n9_targeted.tsv	counts	n9	targeted	TRUE	FALSE
t1_wg_coarse.tsv	counts	t1	wg_coarse	FALSE	TRUE
t1_wg_medium.tsv	counts	t1	wg_medium	FALSE	TRUE
t1_wg_fine.tsv	counts	t1	wg_fine	FALSE	TRUE
t1_targeted.tsv	counts	t1	targeted	TRUE	FALSE
t13_wg_coarse.tsv	counts	t13	wg_coarse	FALSE	TRUE
t13_wg_medium.tsv	counts	t13	wg_medium	FALSE	TRUE
t13_wg_fine.tsv	counts	t13	wg_fine	FALSE	TRUE
t13_targeted.tsv	counts	t13	targeted	TRUE	FALSE
t15_wg_coarse.tsv	counts	t15	wg_coarse	FALSE	TRUE
t15_wg_medium.tsv	counts	t15	wg_medium	FALSE	TRUE
t15_wg_fine.tsv	counts	t15	wg_fine	FALSE	TRUE
t15_targeted.tsv	counts	t15	targeted	TRUE	FALSE
t16_wg_coarse.tsv	counts	t16	wg_coarse	FALSE	TRUE
t16_wg_medium.tsv	counts	t16	wg_medium	FALSE	TRUE
t16_wg_fine.tsv	counts	t16	wg_fine	FALSE	TRUE
t16_targeted.tsv	counts	t16	targeted	TRUE	FALSE
t17_wg_coarse.tsv	counts	t17	wg_coarse	FALSE	TRUE
t17_wg_medium.tsv	counts	t17	wg_medium	FALSE	TRUE
t17_wg_fine.tsv	counts	t17	wg_fine	FALSE	TRUE
t17_targeted.tsv	counts	t17	targeted	TRUE	FALSE
t18_wg_coarse.tsv	counts	t18	wg_coarse	FALSE	TRUE
t18_wg_medium.tsv	counts	t18	wg_medium	FALSE	TRUE
t18_wg_fine.tsv	counts	t18	wg_fine	FALSE	TRUE
t18_targeted.tsv	counts	t18	targeted	TRUE	FALSE
t19_wg_coarse.tsv	counts	t19	wg_coarse	FALSE	TRUE
t19_wg_medium.tsv	counts	t19	wg_medium	FALSE	TRUE
t19_wg_fine.tsv	counts	t19	wg_fine	FALSE	TRUE
t19_targeted.tsv	counts	t19	targeted	TRUE	FALSE
t20_wg_coarse.tsv	counts	t20	wg_coarse	FALSE	TRUE
t20_wg_medium.tsv	counts	t20	wg_medium	FALSE	TRUE
t20_wg_fine.tsv	counts	t20	wg_fine	FALSE	TRUE
t20_targeted.tsv	counts	t20	targeted	TRUE	FALSE
t21_wg_coarse.tsv	counts	t21	wg_coarse	FALSE	TRUE
t21_wg_medium.tsv	counts	t21	wg_medium	FALSE	TRUE
t21_wg_fine.tsv	counts	t21	wg_fine	FALSE	TRUE
t21_targeted.tsv	counts	t21	targeted	TRUE	FALSE
t22_wg_coarse.tsv	counts	t22	wg_coarse	FALSE	TRUE
t22_wg_medium.tsv	counts	t22	wg_medium	FALSE	TRUE
t22_wg_fine.tsv	counts	t22	wg_fine	FALSE	TRUE
t22_targeted.tsv	counts	t22	targeted	TRUE	FALSE
t3_wg_coarse.tsv	counts	t3	wg_coarse	FALSE	TRUE
t3_wg_medium.tsv	counts	t3	wg_medium	FALSE	TRUE
t3_wg_fine.tsv	counts	t3	wg_fine	FALSE	TRUE
t3_targeted.tsv	counts	t3	targeted	TRUE	FALSE
t4_wg_coarse.tsv	counts	t4	wg_coarse	FALSE	TRUE
t4_wg_medium.tsv	counts	t4	wg_medium	FALSE	TRUE
t4_wg_fine.tsv	counts	t4	wg_fine	FALSE	TRUE
t4_targeted.tsv	counts	t4	targeted	TRUE	FALSE
t5_wg_coarse.tsv	counts	t5	wg_coarse	FALSE	TRUE
t5_wg_medium.tsv	counts	t5	wg_medium	FALSE	TRUE
t5_wg_fine.tsv	counts	t5	wg_fine	FALSE	TRUE
t5_targeted.tsv	counts	t5	targeted	TRUE	FALSE
t6_wg_coarse.tsv	counts	t6	wg_coarse	FALSE	TRUE
t6_wg_medium.tsv	counts	t6	wg_medium	FALSE	TRUE
t6_wg_fine.tsv	counts	t6	wg_fine	FALSE	TRUE
t6_targeted.tsv	counts	t6	targeted	TRUE	FALSE
t7_wg_coarse.tsv	counts	t7	wg_coarse	FALSE	TRUE
t7_wg_medium.tsv	counts	t7	wg_medium	FALSE	TRUE
t7_wg_fine.tsv	counts	t7	wg_fine	FALSE	TRUE
t7_targeted.tsv	counts	t7	targeted	TRUE	FALSE
