path	file	sample	resolution	is_targeted	is_wgs
annotations/wg_transcripts.bed	reference	wg_annotation_file	wg	FALSE	TRUE
annotations/cytoBand.txt	reference	cytobands_file	wg	FALSE	TRUE
annotations/chromInfo.txt	reference	chrom_info_file	wg	FALSE	TRUE
annotations/targeted_transcripts.bed	reference	targeted_annotation_file	targeted	TRUE	FALSE
copywriter/CNspector/t1_hg19_50kb.tsv	counts	t1	wg_fine	FALSE	TRUE
copywriter/CNspector/t2_hg19_50kb.tsv	counts	t2	wg_fine	FALSE	TRUE
copywriter/CNspector/t3_hg19_50kb.tsv	counts	t3	wg_fine	FALSE	TRUE
copywriter/CNspector/t4_hg19_50kb.tsv	counts	t4	wg_fine	FALSE	TRUE
copywriter/CNspector/t5_hg19_50kb.tsv	counts	t5	wg_fine	FALSE	TRUE
copywriter/CNspector/t6_hg19_50kb.tsv	counts	t6	wg_fine	FALSE	TRUE
copywriter/CNspector/t7_hg19_50kb.tsv	counts	t7	wg_fine	FALSE	TRUE
copywriter/CNspector/n8_hg19_50kb.tsv	counts	n8	wg_fine	FALSE	TRUE
copywriter/CNspector/n9_hg19_50kb.tsv	counts	n9	wg_fine	FALSE	TRUE
copywriter/CNspector/n10_hg19_50kb.tsv	counts	n10	wg_fine	FALSE	TRUE
copywriter/CNspector/n11_hg19_50kb.tsv	counts	n11	wg_fine	FALSE	TRUE
copywriter/CNspector/n12_hg19_50kb.tsv	counts	n12	wg_fine	FALSE	TRUE
copywriter/CNspector/n13_hg19_50kb.tsv	counts	n13	wg_fine	FALSE	TRUE
copywriter/CNspector/t14_hg19_50kb.tsv	counts	t14	wg_fine	FALSE	TRUE
copywriter/CNspector/t15_hg19_50kb.tsv	counts	t15	wg_fine	FALSE	TRUE
copywriter/CNspector/t16_hg19_50kb.tsv	counts	t16	wg_fine	FALSE	TRUE
copywriter/CNspector/t17_hg19_50kb.tsv	counts	t17	wg_fine	FALSE	TRUE
copywriter/CNspector/t18_hg19_50kb.tsv	counts	t18	wg_fine	FALSE	TRUE
copywriter/CNspector/t19_hg19_50kb.tsv	counts	t19	wg_fine	FALSE	TRUE
copywriter/CNspector/t20_hg19_50kb.tsv	counts	t20	wg_fine	FALSE	TRUE
copywriter/CNspector/t21_hg19_50kb.tsv	counts	t21	wg_fine	FALSE	TRUE
copywriter/CNspector/t22_hg19_50kb.tsv	counts	t22	wg_fine	FALSE	TRUE
copywriter/CNspector/t1_hg19_500kb.tsv	counts	t1	wg_medium	FALSE	TRUE
copywriter/CNspector/t2_hg19_500kb.tsv	counts	t2	wg_medium	FALSE	TRUE
copywriter/CNspector/t3_hg19_500kb.tsv	counts	t3	wg_medium	FALSE	TRUE
copywriter/CNspector/t4_hg19_500kb.tsv	counts	t4	wg_medium	FALSE	TRUE
copywriter/CNspector/t5_hg19_500kb.tsv	counts	t5	wg_medium	FALSE	TRUE
copywriter/CNspector/t6_hg19_500kb.tsv	counts	t6	wg_medium	FALSE	TRUE
copywriter/CNspector/t7_hg19_500kb.tsv	counts	t7	wg_medium	FALSE	TRUE
copywriter/CNspector/n8_hg19_500kb.tsv	counts	n8	wg_medium	FALSE	TRUE
copywriter/CNspector/n9_hg19_500kb.tsv	counts	n9	wg_medium	FALSE	TRUE
copywriter/CNspector/n10_hg19_500kb.tsv	counts	n10	wg_medium	FALSE	TRUE
copywriter/CNspector/n11_hg19_500kb.tsv	counts	n11	wg_medium	FALSE	TRUE
copywriter/CNspector/n12_hg19_500kb.tsv	counts	n12	wg_medium	FALSE	TRUE
copywriter/CNspector/n13_hg19_500kb.tsv	counts	n13	wg_medium	FALSE	TRUE
copywriter/CNspector/t14_hg19_500kb.tsv	counts	t14	wg_medium	FALSE	TRUE
copywriter/CNspector/t15_hg19_500kb.tsv	counts	t15	wg_medium	FALSE	TRUE
copywriter/CNspector/t16_hg19_500kb.tsv	counts	t16	wg_medium	FALSE	TRUE
copywriter/CNspector/t17_hg19_500kb.tsv	counts	t17	wg_medium	FALSE	TRUE
copywriter/CNspector/t18_hg19_500kb.tsv	counts	t18	wg_medium	FALSE	TRUE
copywriter/CNspector/t19_hg19_500kb.tsv	counts	t19	wg_medium	FALSE	TRUE
copywriter/CNspector/t20_hg19_500kb.tsv	counts	t20	wg_medium	FALSE	TRUE
copywriter/CNspector/t21_hg19_500kb.tsv	counts	t21	wg_medium	FALSE	TRUE
copywriter/CNspector/t22_hg19_500kb.tsv	counts	t22	wg_medium	FALSE	TRUE
copywriter/CNspector/t1_hg19_1000kb.tsv	counts	t1	wg_coarse	FALSE	TRUE
copywriter/CNspector/t2_hg19_1000kb.tsv	counts	t2	wg_coarse	FALSE	TRUE
copywriter/CNspector/t3_hg19_1000kb.tsv	counts	t3	wg_coarse	FALSE	TRUE
copywriter/CNspector/t4_hg19_1000kb.tsv	counts	t4	wg_coarse	FALSE	TRUE
copywriter/CNspector/t5_hg19_1000kb.tsv	counts	t5	wg_coarse	FALSE	TRUE
copywriter/CNspector/t6_hg19_1000kb.tsv	counts	t6	wg_coarse	FALSE	TRUE
copywriter/CNspector/t7_hg19_1000kb.tsv	counts	t7	wg_coarse	FALSE	TRUE
copywriter/CNspector/n8_hg19_1000kb.tsv	counts	n8	wg_coarse	FALSE	TRUE
copywriter/CNspector/n9_hg19_1000kb.tsv	counts	n9	wg_coarse	FALSE	TRUE
copywriter/CNspector/n10_hg19_1000kb.tsv	counts	n10	wg_coarse	FALSE	TRUE
copywriter/CNspector/n11_hg19_1000kb.tsv	counts	n11	wg_coarse	FALSE	TRUE
copywriter/CNspector/n12_hg19_1000kb.tsv	counts	n12	wg_coarse	FALSE	TRUE
copywriter/CNspector/n13_hg19_1000kb.tsv	counts	n13	wg_coarse	FALSE	TRUE
copywriter/CNspector/t14_hg19_1000kb.tsv	counts	t14	wg_coarse	FALSE	TRUE
copywriter/CNspector/t15_hg19_1000kb.tsv	counts	t15	wg_coarse	FALSE	TRUE
copywriter/CNspector/t16_hg19_1000kb.tsv	counts	t16	wg_coarse	FALSE	TRUE
copywriter/CNspector/t17_hg19_1000kb.tsv	counts	t17	wg_coarse	FALSE	TRUE
