chr	start	end	raw	cor	N	Ns
chr1	10001	20000	234	234	NA	NA
chr1	20001	30000	174	187.763030106831	NA	NA
chr1	30001	40000	210	210	NA	NA
chr1	90001	100000	128	128	NA	NA
chr1	100001	110000	135	145.208131655373	NA	NA
chr1	110001	120000	148	153.240836612135	NA	NA
chr1	120001	130000	320	351.609713218328	NA	NA
chr1	130001	140000	275	298.394097222222	NA	NA
chr1	140001	150000	172	289.318755256518	NA	NA
chr1	150001	160000	227	259.162004795068	NA	NA
chr1	160001	170000	222	308.977035490605	NA	NA
chr1	170001	180000	178	201.494226850804	NA	NA
chr1	230001	240000	145	145	NA	NA
chr1	240001	250000	227	237.150020894275	NA	NA
chr1	250001	260000	137	139.767394409304	NA	NA
chr1	260001	270000	115	115	NA	NA
chr1	310001	320000	126	126	NA	NA
chr1	320001	330000	315	346.916299559471	NA	NA
chr1	330001	340000	236	289.641629847815	NA	NA
chr1	340001	350000	138	145.477545857052	NA	NA
chr1	350001	360000	104	126.736534243237	NA	NA
chr1	380001	390000	195	207.050329156934	NA	NA
chr1	390001	400000	96	115.052732502397	NA	NA
chr1	400001	410000	201	213.149522799576	NA	NA
chr1	410001	420000	134	139.962398161688	NA	NA
chr1	420001	430000	96	96	NA	NA
chr1	430001	440000	195	195	NA	NA
chr1	440001	450000	196	196	NA	NA
chr1	450001	460000	154	154	NA	NA
chr1	460001	470000	117	128.812066497853	NA	NA
chr1	520001	530000	101	107.66442809935	NA	NA
chr1	530001	540000	189	189	NA	NA
chr1	540001	550000	182	182	NA	NA
chr1	550001	560000	144	144	NA	NA
chr1	560001	570000	187	292.919799498747	NA	NA
chr1	570001	580000	155	162.303664921466	NA	NA
chr1	580001	590000	176	199.501246882793	NA	NA
chr1	590001	600000	85	100.14137606032	NA	NA
chr1	600001	610000	150	154.894671623296	NA	NA
chr1	620001	630000	52	52	NA	NA
chr1	630001	640000	101	124.537607891492	NA	NA
chr1	640001	650000	142	146.891486500466	NA	NA
chr1	650001	660000	162	242.732993706922	NA	NA
chr1	660001	670000	321	336.160854539742	NA	NA
chr1	670001	680000	234	275.521017308372	NA	NA
chr1	680001	690000	333	427.306557166688	NA	NA
chr1	690001	700000	239	273.236538241683	NA	NA
chr1	700001	710000	337	337	NA	NA
chr1	710001	720000	130	140.997830802603	NA	NA
chr1	800001	810000	80	80	3.02239443267566	3
chr1	920001	930000	138	146.636914249283	3.43490201899495	3
chr1	930001	940000	133	133	2.5704611912056	3
chr1	940001	950000	117	117	2.15998984792023	2
chr1	960001	970000	146	146	2.38432932880253	2
chr1	970001	980000	116	116	3.43418278213421	3
chr1	980001	990000	85	90.0709971389213	2.40002848472741	2
chr1	990001	1000000	126	126	2.78396266346763	3
chr1	1000001	1010000	122	127.989928661351	2.35129815835261	2
chr1	1010001	1020000	205	205	4.30265754061269	4
chr1	1070001	1080000	94	94	1.57709576658149	2
chr1	1080001	1090000	83	83	1.52213824758653	2
chr1	1090001	1100000	104	104	2.3428084878503	2
chr1	1100001	1110000	106	106	3.0214755431813	3
chr1	1110001	1120000	92	95.7236499843929	1.87045596404758	2
chr1	1120001	1130000	84	84	2.21956738482763	2
chr1	1130001	1140000	84	104.659855469723	1.85508056277927	2
chr1	1140001	1150000	101	101	2.49576248150469	2
chr1	1150001	1160000	114	114	3.31219476477763	3
chr1	1170001	1180000	122	122	4.26348480848741	4
chr1	1180001	1190000	114	124.223602484472	2.19154066812786	2
chr1	1200001	1210000	111	111	1.6441963455105	2
chr1	1210001	1220000	111	111	1.85537085253761	2
chr1	1220001	1230000	138	138	1.99819815531832	2
chr1	1230001	1240000	116	116	2.29114304815865	2
chr1	1240001	1250000	113	113	3.74765048006838	4
chr1	1250001	1260000	93	93	1.63188494328297	2
chr1	1270001	1280000	118	118	3.98067360044277	4
chr1	1290001	1300000	79	79	1.38972393458107	1
chr1	1300001	1310000	90	90	1.66953032586793	2
chr1	1310001	1320000	134	134	2.22306461726474	2
chr1	1330001	1340000	102	105.546357615894	1.97138371205033	2
chr1	1360001	1370000	114	114	2.69351077683363	3
chr1	1380001	1390000	156	156	4.44631843009239	4
chr1	1390001	1400000	126	130.151843817787	2.84427368398732	3
chr1	1400001	1410000	114	114	3.12231505913761	3
chr1	1410001	1420000	126	126	2.7605386864114	3
chr1	1420001	1430000	125	125	2.73671265072214	3
chr1	1430001	1440000	160	160	4.48519997716642	4
chr1	1440001	1450000	97	97	2.27780201001539	2
chr1	1450001	1460000	151	154.523127302497	3.53045737862111	4
chr1	1460001	1470000	104	107.31606645341	2.3812557675754	2
chr1	1490001	1500000	116	116	2.59820361598925	3
chr1	1500001	1510000	92	92	1.97427597019686	2
chr1	1510001	1520000	77	95.3324254054723	1.98822193821419	2
chr1	1520001	1530000	136	142.304070314952	3.68401135573642	4
chr1	1530001	1540000	109	109	2.39568009398717	2
chr1	1540001	1550000	169	184.598580010923	3.61385447086062	4
chr1	1560001	1570000	107	107	NA	NA
chr1	1570001	1580000	108	115.718418514947	NA	NA
chr1	1580001	1590000	136	136	4.51200225344517	5
chr1	1590001	1600000	91	96.1843356939013	2.15910779832547	2
chr1	1600001	1610000	105	105	2.96046897627346	3
chr1	1610001	1620000	112	112	2.35754760562992	2
chr1	1620001	1630000	150	150	1.531045382909	2
chr1	1630001	1640000	98	98.4528832630099	NA	NA
chr1	1640001	1650000	99	105.420083058247	1.45856936087181	1
chr1	1650001	1660000	104	104	2.98615048056767	3
chr1	1660001	1670000	140	140	4.8994343968457	5
chr1	1670001	1680000	177	177	NA	NA
chr1	1680001	1690000	107	107	1.87495650411194	2
chr1	1690001	1700000	131	131	2.73294930032661	3
chr1	1700001	1710000	130	130	2.96467429745249	3
chr1	1710001	1720000	128	142.936906756002	3.19354277236358	3
chr1	1720001	1730000	116	165.31281174291	3.94827838721334	4
chr1	1730001	1740000	141	179.824002040556	4.45057734026199	4
chr1	1740001	1750000	135	167.265518523107	4.13099479234458	4
chr1	1750001	1760000	98	108.179710784855	2.96711322517337	3
chr1	1760001	1770000	84	84	2.04962295815098	2
chr1	1770001	1780000	105	105	2.714440156657	3
