chr	start	end	raw	cor	N	Ns
chr1	1	500000	5385	5661.21045825843	NA	NA
chr1	500001	1000000	5628	5888.35971307325	NA	NA
chr1	1000001	1500000	4860	4928.34630657965	1.77954150864949	2
chr1	1500001	2000000	4404	4545.30442393117	NA	NA
chr1	2000001	2500000	4211	4299.58872611283	1.93361068412186	2
chr1	2500001	3000000	4006	4098.32711320631	1.84368851670162	2
chr1	3000001	3500000	3355	3378.78665807283	1.90858402589737	2
chr1	3500001	4000000	2701	2728.91130482576	NA	NA
chr1	4000001	4500000	2606	2700.04247956319	NA	NA
chr1	4500001	5000000	2129	2169.88939577396	1.53556252507239	2
chr1	5000001	5500000	1968	1998.30631355132	1.6829684074421	2
chr1	5500001	6000000	2441	2506.52559202676	1.72699264185862	2
chr1	6000001	6500000	3606	3692.33415726517	1.76235943706637	2
chr1	6500001	7000000	3526	3548.07612967886	2.0344115041143	2
chr1	7000001	7500000	2426	2457.96833618036	1.81338332721825	2
chr1	7500001	8000000	2630	2667.24541497471	1.70329392554569	2
chr1	8000001	8500000	3286	3313.87632766835	2.18164702652134	2
chr1	8500001	9000000	3072	3095.07065667485	2.2987440725044	2
chr1	9000001	9500000	3671	3696.9079307789	1.98462816180208	2
chr1	9500001	10000000	4101	4226.88509180411	2.21446095702931	2
chr1	10000001	10500000	3675	3697.98668523542	2.46209909936163	2
chr1	10500001	11000000	3217	3236.49665585487	1.88086822892121	2
chr1	11000001	11500000	3287	3676.60217978775	2.09199924421244	2
chr1	11500001	12000000	3546	3589.81731008692	1.86400449117961	2
chr1	12000001	12500000	3279	3299.23752296587	2.04441343079872	2
chr1	12500001	13000000	2808	2866.86241919083	1.64106752123793	2
chr1	13000001	13500000	3138	3286.57281047011	NA	NA
chr1	13500001	14000000	3122	3183.13529650467	2.03050523808614	2
chr1	14000001	14500000	2248	2305.71670044555	1.97549270440885	2
chr1	14500001	15000000	1875	1893.39241390871	1.58161670147735	2
chr1	15000001	15500000	2558	2585.74504432561	1.64565153047476	2
chr1	15500001	16000000	3301	3340.66031931086	2.06540283087155	2
chr1	16000001	16500000	3747	3971.770432305	NA	NA
chr1	16500001	17000000	4440	4838.51984882895	1.54419776637132	2
chr1	17000001	17500000	4320	4439.61202723784	1.01447685276005	1
chr1	17500001	18000000	3458	3487.41283989165	NA	NA
chr1	18000001	18500000	2493	2503.91204870827	1.79854054024474	2
chr1	18500001	19000000	2799	2820.02611471129	2.10624156639169	2
chr1	19000001	19500000	2867	2889.49762853578	2.02832030221096	2
chr1	19500001	20000000	3339	3378.32368772512	2.0792538297964	2
chr1	20000001	20500000	2662	2708.03662258393	1.8236397923398	2
chr1	20500001	21000000	2826	2858.98699191269	1.88971481259518	2
chr1	21000001	21500000	2949	2966.16221457352	2.41932945410124	2
chr1	21500001	22000000	3716	3866.21803555339	1.90558904081774	2
chr1	22000001	22500000	3661	3674.83206790359	1.96216066856986	2
chr1	22500001	23000000	2910	2929.2038605095	NA	NA
chr1	23000001	23500000	2699	2715.59226876214	1.84104523112178	2
chr1	23500001	24000000	3302	3328.75654510959	2.03838862427842	2
chr1	24000001	24500000	3384	3417.2360377027	1.9974999648406	2
chr1	24500001	25000000	2908	2915.67405411042	2.10854162444602	2
chr1	25000001	25500000	3141	3159.00633611586	NA	NA
chr1	25500001	26000000	3358	3398.65470761246	2.00019563707223	2
chr1	26000001	26500000	3133	3147.25075140235	1.90331785472992	2
chr1	26500001	27000000	3857	3863.01858295224	2.11110801612086	2
chr1	27000001	27500000	3766	3916.14499927209	2.09714661447557	2
chr1	27500001	28000000	4190	4218.05852531036	2.25721849612277	2
chr1	28000001	28500000	3912	3921.95391904654	NA	NA
chr1	28500001	29000000	4268	4276.39884733617	2.62114967305953	3
chr1	29000001	29500000	3439	3444.00758703154	2.28979775939647	2
chr1	29500001	30000000	2419	2439.42776813032	2.24471124135445	2
chr1	30000001	30500000	2212	2212	1.6187607056457	2
chr1	30500001	31000000	2728	2750.11089156821	NA	NA
chr1	31000001	31500000	2960	2974.5036799434	NA	NA
chr1	31500001	32000000	3826	3874.43037974684	2.47471350439307	2
chr1	32000001	32500000	3722	3727.93487231673	2.26257615861596	2
chr1	32500001	33000000	3963	3972.75709141652	NA	NA
chr1	33000001	33500000	3609	3667.54129413702	2.19505299529414	2
chr1	33500001	34000000	2747	2777.40705240978	1.9445065663933	2
chr1	34000001	34500000	1950	1966.81627918705	1.68234005475304	2
chr1	34500001	35000000	2000	2006.04622331708	1.7404444604205	2
chr1	35000001	35500000	2496	2512.40601125349	1.90005349429447	2
chr1	35500001	36000000	3208	3226.83828188967	2.48289331617349	2
chr1	36000001	36500000	2996	3004.37017530841	2.24879418245022	2
chr1	36500001	37000000	3575	3675.48027989168	2.08059855328974	2
chr1	37000001	37500000	2374	2395.82597462887	NA	NA
chr1	37500001	38000000	2582	2604.63427182213	1.7995615824845	2
chr1	38000001	38500000	3206	3216.16307531801	1.93865393069671	2
chr1	38500001	39000000	2331	2372.97314906058	1.95339652786754	2
chr1	39000001	39500000	2563	2622.27924460351	NA	NA
