chr	start	end	width	strand	name	raw	cor	N	Ns
chr1	1716724	1718492	1769	*	GNB1_12	134.97	134.97	1.87292075627647	2
chr1	1718761	1718876	116	*	GNB1_11	53.83	53.83	2.22460998036987	2
chr1	1720492	1720708	217	*	GNB1_10	51.43	51.43	2.12542618039054	2
chr1	1721834	1722035	202	*	GNB1_9	50.51	50.51	2.08740572373179	2
chr1	1724684	1724750	67	*	GNB1_8	0	0	NA	NA
chr1	1735858	1736020	163	*	GNB1_7	52.77	52.77	2.18080380204567	2
chr1	1737914	1737977	64	*	GNB1_6	112.77	112.77	2.33019940076454	2
chr1	1747195	1747301	107	*	GNB1_5	51.56	51.56	2.13079863622275	2
chr1	1749276	1749314	39	*	GNB1_4	48.94	48.94	2.02252298791197	2
chr1	1756836	1756938	103	*	GNB1_3	53.33	53.33	2.20394668870751	2
chr1	1770629	1770677	49	*	GNB1_2	35.79	35.79	1.47907841719186	1
chr1	1822259	1822556	298	*	GNB1_1	0	0	NA	NA
chr1	2487804	2488172	369	*	TNFRSF14_1	47.3	47.3	1.95474739125943	2
chr1	2489165	2489273	109	*	TNFRSF14_2	49.73	49.73	2.05517098873851	2
chr1	2489782	2489907	126	*	TNFRSF14_3	110.04	110.04	2.27378861452629	2
chr1	2491262	2491417	156	*	TNFRSF14_4	0	0	NA	NA
chr1	2492063	2492153	91	*	TNFRSF14_5	0	0	NA	NA
chr1	2493112	2493254	143	*	TNFRSF14_6	52.78	52.78	2.18121706787891	2
chr1	2494304	2494335	32	*	TNFRSF14_7	95.82	95.82	1.97995660708751	2
chr1	2494587	2497061	2475	*	TNFRSF14_8	173.12	173.12	1.86424217377828	2
chr1	9711790	9711860	71	*	PIK3CD_1	0	0	NA	NA
chr1	9751525	9751629	105	*	PIK3CD_2	0	0	NA	NA
chr1	9770482	9770654	173	*	PIK3CD_3	49.97	49.97	2.06508936873644	2
chr1	9775599	9775827	229	*	PIK3CD_4	97.89	97.89	2.0227296208286	2
chr1	9775907	9776136	230	*	PIK3CD_5	53.2	53.2	2.1985742328753	2
chr1	9776498	9776677	180	*	PIK3CD_6	99.76	99.76	2.06136997623721	2
chr1	9777017	9777166	150	*	PIK3CD_7	101.63	101.63	2.10001033164583	2
chr1	9777595	9777684	90	*	PIK3CD_8	48.08	48.08	1.98698212625271	2
chr1	9778752	9778973	222	*	PIK3CD_9	47.76	47.76	1.9737576195888	2
chr1	9779979	9780075	97	*	PIK3CD_10	46.15	46.15	1.907221820436	2
chr1	9780170	9780300	131	*	PIK3CD_11	50.88	50.88	2.10269655956194	2
chr1	9780669	9780719	51	*	PIK3CD_12	45.82	45.82	1.89358404793884	2
chr1	9780800	9780967	168	*	PIK3CD_13	45.82	45.82	1.89358404793884	2
chr1	9781185	9781306	122	*	PIK3CD_14	0	0	NA	NA
chr1	9781502	9781645	144	*	PIK3CD_15	49.62	49.62	2.05062506457279	2
chr1	9781819	9781918	100	*	PIK3CD_16	0	0	NA	NA
chr1	9782033	9782211	179	*	PIK3CD_17	47.87	47.87	1.97830354375452	2
chr1	9782302	9782414	113	*	PIK3CD_18	47.87	47.87	1.97830354375452	2
chr1	9782586	9782664	79	*	PIK3CD_19	47.82	47.82	1.97623721458828	2
chr1	9783183	9783350	168	*	PIK3CD_20	49.67	49.67	2.05269139373902	2
chr1	9784027	9784150	124	*	PIK3CD_21	48.31	48.31	1.9964872404174	2
chr1	9784334	9784479	146	*	PIK3CD_22	51.02	51.02	2.1084822812274	2
chr1	9784862	9784994	133	*	PIK3CD_23	49.01	49.01	2.0254158487447	2
chr1	9786967	9789172	2206	*	PIK3CD_24	124.75	124.75	1.97995660708751	2
chr1	11166588	11167557	970	*	MTOR_58	87.75	87.75	1.81320384337225	2
chr1	11168238	11168343	106	*	MTOR_57	51.67	51.67	2.13534456038847	2
chr1	11169347	11169427	81	*	MTOR_56	46.21	46.21	1.90970141543548	2
chr1	11169706	11169786	81	*	MTOR_55	52.5	52.5	2.16964562454799	2
