chr	start	end	width	strand	name	raw	cor	N	Ns
chr1	1716724	1718492	1769	*	GNB1_12	65.75	65.75	2.85993910395824	3
chr1	1718761	1718876	116	*	GNB1_11	50.55	50.55	2.19878207916485	2
chr1	1720492	1720708	217	*	GNB1_10	51.54	51.54	2.24184428012179	2
chr1	1721834	1722035	202	*	GNB1_9	50.01	50.01	2.17529360591562	2
chr1	1724684	1724750	67	*	GNB1_8	44.87	44.87	1.95171813832101	2
chr1	1735858	1736020	163	*	GNB1_7	52.94	52.94	2.30274032187908	2
chr1	1737914	1737977	64	*	GNB1_6	112.38	112.38	2.44410613310135	2
chr1	1747195	1747301	107	*	GNB1_5	54.5	54.5	2.37059591126577	2
chr1	1749276	1749314	39	*	GNB1_4	46.67	46.67	2.03001304915181	2
chr1	1756836	1756938	103	*	GNB1_3	47.16	47.16	2.05132666376686	2
chr1	1770629	1770677	49	*	GNB1_2	16.61	16.61	0.722488038277512	1
chr1	1822259	1822556	298	*	GNB1_1	0	0	NA	NA
chr1	2487804	2488172	369	*	TNFRSF14_1	45.54	45.54	1.98086124401914	2
chr1	2489165	2489273	109	*	TNFRSF14_2	43.24	43.24	1.88081774684646	2
chr1	2489782	2489907	126	*	TNFRSF14_3	112.6	112.6	2.44889082209656	2
chr1	2491262	2491417	156	*	TNFRSF14_4	0	0	NA	NA
chr1	2492063	2492153	91	*	TNFRSF14_5	43.8	43.8	1.90517616354937	2
chr1	2493112	2493254	143	*	TNFRSF14_6	48.94	48.94	2.12875163114398	2
chr1	2494304	2494335	32	*	TNFRSF14_7	89.7	89.7	1.95084819486733	2
chr1	2494587	2497061	2475	*	TNFRSF14_8	247.46	247.46	2.09003914745542	2
chr1	9711790	9711860	71	*	PIK3CD_1	0	0	NA	NA
chr1	9751525	9751629	105	*	PIK3CD_2	0	0	NA	NA
chr1	9770482	9770654	173	*	PIK3CD_3	46.76	46.76	2.03392779469335	2
chr1	9775599	9775827	229	*	PIK3CD_4	95.76	95.76	2.08264462809917	2
chr1	9775907	9776136	230	*	PIK3CD_5	50.77	50.77	2.20835145715529	2
chr1	9776498	9776677	180	*	PIK3CD_6	98.53	98.53	2.1428882122662	2
chr1	9777017	9777166	150	*	PIK3CD_7	96.42	96.42	2.09699869508482	2
chr1	9777595	9777684	90	*	PIK3CD_8	47.28	47.28	2.05654632448891	2
chr1	9778752	9778973	222	*	PIK3CD_9	47.18	47.18	2.05219660722053	2
chr1	9779979	9780075	97	*	PIK3CD_10	45.16	45.16	1.9643323183993	2
chr1	9780170	9780300	131	*	PIK3CD_11	47.32	47.32	2.05828621139626	2
chr1	9780669	9780719	51	*	PIK3CD_12	43.93	43.93	1.91083079599826	2
chr1	9780800	9780967	168	*	PIK3CD_13	43.93	43.93	1.91083079599826	2
chr1	9781185	9781306	122	*	PIK3CD_14	0	0	NA	NA
chr1	9781502	9781645	144	*	PIK3CD_15	47.88	47.88	2.08264462809917	2
chr1	9781819	9781918	100	*	PIK3CD_16	0	0	NA	NA
