Chromosome	Start	End	Feature	read.counts.compensated.t1.bam	read.counts.compensated.t2.bam	read.counts.compensated.t3.bam	read.counts.compensated.t4.bam	read.counts.compensated.t5.bam	read.counts.compensated.t6.bam	read.counts.compensated.t7.bam	read.counts.compensated.n8.bam	read.counts.compensated.n9.bam	read.counts.compensated.n10.bam	read.counts.compensated.n11.bam	read.counts.compensated.n12.bam	read.counts.compensated.n13.bam	read.counts.compensated.t14.bam	read.counts.compensated.t15.bam	read.counts.compensated.t16.bam	read.counts.compensated.t17.bam	read.counts.compensated.t18.bam	read.counts.compensated.t19.bam	read.counts.compensated.t20.bam	read.counts.compensated.t21.bam	read.counts.compensated.t22.bam	read.counts.t1.bam	read.counts.t2.bam	read.counts.t3.bam	read.counts.t4.bam	read.counts.t5.bam	read.counts.t6.bam	read.counts.t7.bam	read.counts.n8.bam	read.counts.n9.bam	read.counts.n10.bam	read.counts.n11.bam	read.counts.n12.bam	read.counts.n13.bam	read.counts.t14.bam	read.counts.t15.bam	read.counts.t16.bam	read.counts.t17.bam	read.counts.t18.bam	read.counts.t19.bam	read.counts.t20.bam	read.counts.t21.bam	read.counts.t22.bam	fraction.of.bin.t1.bam	fraction.of.bin.t2.bam	fraction.of.bin.t3.bam	fraction.of.bin.t4.bam	fraction.of.bin.t5.bam	fraction.of.bin.t6.bam	fraction.of.bin.t7.bam	fraction.of.bin.n8.bam	fraction.of.bin.n9.bam	fraction.of.bin.n10.bam	fraction.of.bin.n11.bam	fraction.of.bin.n12.bam	fraction.of.bin.n13.bam	fraction.of.bin.t14.bam	fraction.of.bin.t15.bam	fraction.of.bin.t16.bam	fraction.of.bin.t17.bam	fraction.of.bin.t18.bam	fraction.of.bin.t19.bam	fraction.of.bin.t20.bam	fraction.of.bin.t21.bam	fraction.of.bin.t22.bam
1	1	1000000	1:1-1000000	18737.7375859879	17218.7222403427	7038.30216560723	13168.1573807374	8370.24133269428	13687.5102910654	12299.2149857959	12700.6167822238	10440.5152821666	11843.7708770977	10820.5848169069	12918.7895885102	51494.9983631806	12570.5691785082	11214.5082784739	15429.5189182556	15466.2259031754	8670.18983803829	37761.094669681	39275.976544048	11549.0662267422	46827.3166487605	17057	16418	6711	11987	7981	13051	11196	12110	9955	11293	9850	11760	46876	11986	10693	14712	14747	8267	34374	35753	11012	42627	0.910302	0.953497	0.953497	0.910302	0.953497	0.953497	0.910302	0.953497	0.953497	0.953497	0.910302	0.910302	0.910302	0.953497	0.953497	0.953497	0.953497	0.953497	0.910302	0.910302	0.953497	0.910302
1	1000001	2000000	1:1000001-2000000	23797.9495353699	18545.874159354	5602.94295166758	11707.5521691779	5509.85041768881	10977.7580453432	11298.6275990703	10503.0884215394	8478.58155622073	10397.7199490139	11148.4104100512	13018.823048324	55383.1998764881	10290.3054867307	9530.22029171722	12972.5980591741	10802.8259210534	6699.59346183513	40291.5882546849	40956.0906811098	9471.90958362063	50042.1442669193	22813	18129	5477	11223	5386	10731	10831	10267	8288	10164	10687	12480	53091	10059	9316	12681	10560	6549	38624	39261	9259	47971	0.958612	0.977522	0.977522	0.958612	0.977522	0.977522	0.958612	0.977522	0.977522	0.977522	0.958612	0.958612	0.958612	0.977522	0.977522	0.977522	0.977522	0.977522	0.958612	0.958612	0.977522	0.958612
1	2000001	3000000	1:2000001-3000000	17383.0241070431	15666.8717562963	4206.72217032523	6710.69395771043	4872.07108501953	13305.9562525423	9081.52565530998	8919.3548057406	7229.92046474264	8572.88279025463	7317.49567192527	9586.85208285713	39178.685679787	8394.02555512176	8737.43144657688	11263.9176479967	8872.34090393425	6371.40573610484	27009.8513028299	28251.1298094417	8376.65085228028	34522.0975249255	16959	15329	4116	6547	4767	13019	8860	8727	7074	8388	7139	9353	38223	8213	8549	11021	8681	6234	26351	27562	8196	33680	0.975607	0.978434	0.978434	0.975607	0.978434	0.978434	0.975607	0.978434	0.978434	0.978434	0.975607	0.975607	0.975607	0.978434	0.978434	0.978434	0.978434	0.978434	0.975607	0.975607	0.978434	0.975607
1	3000001	4000000	1:3000001-4000000	12956.1728338899	12376.861824997	3026.12758557384	5577.34125503826	3875.4607279249	9550.45866007105	6919.8660305849	6673.62003538552	5266.47070809368	6081.50773780824	5330.67254627818	6478.08641694493	27377.1938603754	6224.7444435254	6166.2393102043	8645.64651198447	6557.61847793852	5163.58237018417	21373.2370516619	21442.9917274998	6108.7428860784	23708.5022862348	12816	12270	3000	5517	3842	9468	6845	6616	5221	6029	5273	6408	27081	6171	6113	8571	6501	5119	21142	21211	6056	23452	0.989181	0.991366	0.991366	0.989181	0.991366	0.991366	0.989181	0.991366	0.991366	0.991366	0.989181	0.989181	0.989181	0.991366	0.991366	0.991366	0.991366	0.991366	0.989181	0.989181	0.991366	0.989181
1	4000001	5000000	1:4000001-5000000	12549.2306058985	11142.0183463613	2487.76412584531	5624.73522927212	3512.25848085059	8130.18990652131	6590.53638555359	5670.17036200513	4466.87759398991	5321.82172976161	4628.01194418762	5797.89915056912	21911.4204698308	5607.48815974302	5349.56631109074	7374.92074811722	5603.37785139797	4188.40420361234	19831.3919390133	19165.5354321213	4865.57750346037	21525.9245974197	12175	10843	2421	5457	3418	7912	6394	5518	4347	5179	4490	5625	21258	5457	5206	7177	5453	4076	19240	18594	4735	20884	0.970179	0.973163	0.973163	0.970179	0.973163	0.973163	0.970179	0.973163	0.973163	0.973163	0.970179	0.970179	0.970179	0.973163	0.973163	0.973163	0.973163	0.973163	0.970179	0.970179	0.973163	0.970179
1	5000001	6000000	1:5000001-6000000	12001.8001670407	10495.7798367482	2299.49374378412	5307.81517598487	3086.75381325905	7301.81161714042	6262.4804200939	5199.3881631211	4314.1034935559	4923.69397536723	4356.23946341016	5569.39551255843	21371.3194668292	5131.99625055905	4964.53755873818	7058.7922960833	5900.87670751706	4376.38995819659	18473.3388876245	17380.6745683152	4501.98397706224	20503.1611056815	11654	10279	2252	5154	3023	7151	6081	5092	4225	4822	4230	5408	20752	5026	4862	6913	5779	4286	17938	16877	4409	19909	0.971021	0.979346	0.979346	0.971021	0.979346	0.979346	0.971021	0.979346	0.979346	0.979346	0.971021	0.971021	0.971021	0.979346	0.979346	0.979346	0.979346	0.979346	0.971021	0.971021	0.979346	0.971021
1	6000001	7000000	1:6000001-7000000	20527.1624082972	15478.1069389097	4006.30127141955	10647.3871749918	4522.94868645694	9254.99239746731	10698.0103043896	8378.01132361211	6981.33776154641	8415.56722608044	8492.28823776754	10199.0108860391	41528.529232791	8235.90790886705	8147.60078684691	11173.3884965256	8920.03434842539	5581.61912630761	33761.4948080299	32615.7590834941	7236.10888369648	37750.3907795652	19869	15249	3947	10306	4456	9118	10355	8254	6878	8291	8220	9872	40197	8114	8027	11008	8788	5499	32679	31570	7129	36540	0.967937	0.985198	0.985198	0.967937	0.985198	0.985198	0.967937	0.985198	0.985198	0.985198	0.967937	0.967937	0.967937	0.985198	0.985198	0.985198	0.985198	0.985198	0.967937	0.967937	0.985198	0.967937
1	7000001	8000000	1:7000001-8000000	14956.214220441	11724.0994815081	3019.7209368332	7636.38747853739	3597.5124554619	7830.59558141539	8076.90889197595	6298.94122238385	5244.72511821919	6107.35771883854	5918.35396612698	7440.7140134984	28778.3419183786	6288.80452907457	5904.62385265303	8214.77625783693	6795.63919453835	4753.09549271932	24750.132156424	23577.1158345934	5124.09846783881	25996.9102032955	14599	11566	2979	7454	3549	7725	7884	6214	5174	6025	5777	7263	28091	6204	5825	8104	6704	4689	24159	23014	5055	25376	0.976116	0.986515	0.986515	0.976116	0.986515	0.986515	0.976116	0.986515	0.986515	0.986515	0.976116	0.976116	0.976116	0.986515	0.986515	0.986515	0.986515	0.986515	0.976116	0.976116	0.986515	0.976116
1	8000001	9000000	1:8000001-9000000	21675.9453401779	14638.1242395927	4221.48907281464	14595.5772230084	4045.08969656283	7362.4059665325	11484.5533325759	8335.12252700674	6871.51170233462	8352.25846641406	9483.87163411384	10958.8192156336	44054.2466715556	8039.77957133944	7790.80445171546	10180.7640008185	8352.25846641406	4959.34246376505	35028.972184637	33365.0082113678	6406.82534546558	39504.425875621	20986	14522	4188	14131	4013	7304	11119	8269	6817	8286	9182	10610	42652	7976	7729	10100	8286	4920	33914	32303	6356	38247	0.96817	0.992067	0.992067	0.96817	0.992067	0.992067	0.96817	0.992067	0.992067	0.992067	0.96817	0.96817	0.96817	0.992067	0.992067	0.992067	0.992067	0.992067	0.96817	0.96817	0.992067	0.96817
1	9000001	10000000	1:9000001-10000000	30276.012417025	17469.3486687619	5121.20455784149	14727.5485074018	4742.23338308179	9014.82775658233	12109.3176616415	9919.46862536356	8121.39302468916	10023.3800765074	11004.6156104403	12619.2637856704	53262.7309843917	9372.40539728302	9082.06457791067	11916.1984708717	10102.8417744408	5953.51490670891	42731.0931222512	41777.5264894722	7913.57012240158	48780.8590798136	27845	17148	5027	13545	4655	8849	11137	9737	7972	9839	10121	11606	48986	9200	8915	11697	9917	5844	39300	38423	7768	44864	0.919705	0.981605	0.981605	0.919705	0.981605	0.981605	0.919705	0.981605	0.981605	0.981605	0.919705	0.919705	0.919705	0.981605	0.981605	0.981605	0.981605	0.981605	0.919705	0.919705	0.981605	0.919705
