chr	start	end	width	strand	name	raw	cor	N	Ns
chr1	1	1000000	1000000	+	chr1:0-1000000	3354.88	3354.88	1.52042315603879	2
chr1	1000001	2000000	1000000	+	chr1:1000000-2000000	22351.62	22351.62	1.89303555686159	2
chr1	2000001	3000000	1000000	+	chr1:2000000-3000000	22434.54	22434.54	1.88245665589186	2
chr1	3000001	4000000	1000000	+	chr1:3000000-4000000	19789.81	19789.81	1.77196591243021	2
chr1	4000001	5000000	1000000	+	chr1:4000000-5000000	17902.81	17902.81	1.99030267411108	2
chr1	5000001	6000000	1000000	+	chr1:5000000-6000000	14554.46	14554.46	1.7126065236556	2
chr1	6000001	7000000	1000000	+	chr1:6000000-7000000	26204.07	26204.07	1.91683808404349	2
chr1	7000001	8000000	1000000	+	chr1:7000000-8000000	20196.15	20196.15	1.91243020863944	2
chr1	8000001	9000000	1000000	+	chr1:8000000-9000000	19039.32	19039.32	1.74081692624155	2
chr1	9000001	10000000	1000000	+	chr1:9000000-10000000	25433.35	25433.35	1.86188657067294	2
chr1	10000001	11000000	1000000	+	chr1:10000000-11000000	24079.27	24079.27	1.96620628856891	2
chr1	11000001	12000000	1000000	+	chr1:11000000-12000000	27866.96	27866.96	1.96943873053188	2
chr1	12000001	13000000	1000000	+	chr1:12000000-13000000	17935.19	17935.19	1.74551866000588	2
chr1	13000001	14000000	1000000	+	chr1:13000000-14000000	5242.1	5242.1	1.91419335880106	2
chr1	14000001	15000000	1000000	+	chr1:14000000-15000000	11852.76	11852.76	1.96473699676756	2
chr1	15000001	16000000	1000000	+	chr1:15000000-16000000	18178.18	18178.18	1.70437848956803	2
chr1	16000001	17000000	1000000	+	chr1:16000000-17000000	25064.05	25064.05	1.89656185718484	2
chr1	17000001	18000000	1000000	+	chr1:17000000-18000000	19637.2	19637.2	1.89538642374376	2
chr1	18000001	19000000	1000000	+	chr1:18000000-19000000	16554.78	16554.78	1.7393476344402	2
chr1	19000001	20000000	1000000	+	chr1:19000000-20000000	18412.33	18412.33	1.81134293270644	2
chr1	20000001	21000000	1000000	+	chr1:20000000-21000000	17346.33	17346.33	1.68674698795181	2
chr1	21000001	22000000	1000000	+	chr1:21000000-22000000	23330.98	23330.98	2.06876285630326	2
chr1	22000001	23000000	1000000	+	chr1:22000000-23000000	20815.58	20815.58	1.75903614457831	2
chr1	23000001	24000000	1000000	+	chr1:23000000-24000000	20278.64	20278.64	1.74610637672642	2
chr1	24000001	25000000	1000000	+	chr1:24000000-25000000	18126.35	18126.35	1.71789597414046	2
chr1	25000001	26000000	1000000	+	chr1:25000000-26000000	16471.69	16471.69	1.72377314134587	2
chr1	26000001	27000000	1000000	+	chr1:26000000-27000000	21367.97	21367.97	1.72788715838966	2
chr1	27000001	28000000	1000000	+	chr1:27000000-28000000	25213.92	25213.92	1.93211871877755	2
chr1	28000001	29000000	1000000	+	chr1:28000000-29000000	22100.89	22100.89	1.82339112547752	2
chr1	29000001	30000000	1000000	+	chr1:29000000-30000000	19423.74	19423.74	1.83426388480752	2
chr1	30000001	31000000	1000000	+	chr1:30000000-31000000	14111.71	14111.71	1.70202762268587	2
chr1	31000001	32000000	1000000	+	chr1:31000000-32000000	18024.3	18024.3	1.56450191007934	2
chr1	32000001	33000000	1000000	+	chr1:32000000-33000000	23823.77	23823.77	1.91007934175727	2
chr1	33000001	34000000	1000000	+	chr1:33000000-34000000	19291.17	19291.17	1.76843961210696	2
chr1	34000001	35000000	1000000	+	chr1:34000000-35000000	9892.48	9892.48	1.95004407875404	2
chr1	35000001	36000000	1000000	+	chr1:35000000-36000000	17324.41	17324.41	1.8275051425213	2
chr1	36000001	37000000	1000000	+	chr1:36000000-37000000	22414.17	22414.17	1.76814575374669	2
chr1	37000001	38000000	1000000	+	chr1:37000000-38000000	17679.03	17679.03	1.96179841316485	2
chr1	38000001	39000000	1000000	+	chr1:38000000-39000000	16187.68	16187.68	1.72083455774317	2
chr1	39000001	40000000	1000000	+	chr1:39000000-40000000	18134.91	18134.91	1.8295621510432	2
chr1	40000001	41000000	1000000	+	chr1:40000000-41000000	17103.58	17103.58	1.67381722009991	2
chr1	41000001	42000000	1000000	+	chr1:41000000-42000000	17099.56	17099.56	1.79694387305319	2
chr1	42000001	43000000	1000000	+	chr1:42000000-43000000	13492.25	13492.25	1.80840434910373	2
chr1	43000001	44000000	1000000	+	chr1:43000000-44000000	18236.74	18236.74	1.86805759623861	2
chr1	44000001	45000000	1000000	+	chr1:44000000-45000000	19732.52	19732.52	1.84983837790185	2
chr1	45000001	46000000	1000000	+	chr1:45000000-46000000	22537.91	22537.91	1.97707904789891	2
chr1	46000001	47000000	1000000	+	chr1:46000000-47000000	19603.38	19603.38	1.84014105201293	2
chr1	47000001	48000000	1000000	+	chr1:47000000-48000000	14169.1	14169.1	1.98530708198648	2
chr1	48000001	49000000	1000000	+	chr1:48000000-49000000	11019.61	11019.61	1.75492212753453	2
chr1	49000001	50000000	1000000	+	chr1:49000000-50000000	7931.35	7931.35	1.68762856303262	2
chr1	50000001	51000000	1000000	+	chr1:50000000-51000000	10043.37	10043.37	1.78842198060535	2
chr1	51000001	52000000	1000000	+	chr1:51000000-52000000	17585.59	17585.59	1.77490449603291	2
chr1	52000001	53000000	1000000	+	chr1:52000000-53000000	17347.26	17347.26	1.88833382309727	2
chr1	53000001	54000000	1000000	+	chr1:53000000-54000000	20750.44	20750.44	1.76902732882751	2
chr1	54000001	55000000	1000000	+	chr1:54000000-55000000	18780.7	18780.7	1.92447840141052	2
chr1	55000001	56000000	1000000	+	chr1:55000000-56000000	13997.78	13997.78	1.84778136937996	2
chr1	56000001	57000000	1000000	+	chr1:56000000-57000000	6293.49	6293.49	1.53100205700852	2
chr1	57000001	58000000	1000000	+	chr1:57000000-58000000	8751.06	8751.06	1.82897443432266	2
chr1	58000001	59000000	1000000	+	chr1:58000000-59000000	7743.02	7743.02	1.93711431090215	2
chr1	59000001	60000000	1000000	+	chr1:59000000-60000000	9122.58	9122.58	1.60564208051719	2
chr1	60000001	61000000	1000000	+	chr1:60000000-61000000	6776.72	6776.72	1.93182486041728	2
chr1	61000001	62000000	1000000	+	chr1:61000000-62000000	8943.78	8943.78	1.95650896267999	2
chr1	62000001	63000000	1000000	+	chr1:62000000-63000000	18288.4	18288.4	1.96767558037026	2
chr1	63000001	64000000	1000000	+	chr1:63000000-64000000	11872.53	11872.53	1.72612400822803	2
chr1	64000001	65000000	1000000	+	chr1:64000000-65000000	9958.74	9958.74	1.96738172200999	2
chr1	65000001	66000000	1000000	+	chr1:65000000-66000000	14848.8	14848.8	1.98560094034675	2
chr1	66000001	67000000	1000000	+	chr1:66000000-67000000	6324.82	6324.82	1.44343226564796	1
chr1	67000001	68000000	1000000	+	chr1:67000000-68000000	11569.88	11569.88	1.8671760211578	2
chr1	68000001	69000000	1000000	+	chr1:68000000-69000000	9473.1	9473.1	1.68175139582721	2
chr1	69000001	70000000	1000000	+	chr1:69000000-70000000	7380.95	7380.95	2.14163972965031	2
chr1	70000001	71000000	1000000	+	chr1:70000000-71000000	10063.6	10063.6	1.9950044078754	2
chr1	71000001	72000000	1000000	+	chr1:71000000-72000000	7450.94	7450.94	2.15927123126653	2
chr1	72000001	73000000	1000000	+	chr1:72000000-73000000	4415.78	4415.78	1.77725536291507	2
chr1	73000001	74000000	1000000	+	chr1:73000000-74000000	5853.21	5853.21	2.10226270937408	2
chr1	74000001	75000000	1000000	+	chr1:74000000-75000000	5907.65	5907.65	1.84131648545401	2
chr1	75000001	76000000	1000000	+	chr1:75000000-76000000	7550.86	7550.86	2.03114898618866	2
chr1	76000001	77000000	1000000	+	chr1:76000000-77000000	9340.43	9340.43	2.15633264766383	2
chr1	77000001	78000000	1000000	+	chr1:77000000-78000000	7129.12	7129.12	2.00646488392595	2
chr1	78000001	79000000	1000000	+	chr1:78000000-79000000	14355.63	14355.63	2.03438142815163	2
chr1	79000001	80000000	1000000	+	chr1:79000000-80000000	6611.21	6611.21	1.88069350573024	2
chr1	80000001	81000000	1000000	+	chr1:80000000-81000000	5889.25	5889.25	1.82074640023509	2
chr1	81000001	82000000	1000000	+	chr1:81000000-82000000	6790	6790	2.06053482221569	2
chr1	82000001	83000000	1000000	+	chr1:82000000-83000000	8576.23	8576.23	2.21863062004114	2
chr1	83000001	84000000	1000000	+	chr1:83000000-84000000	3483.18	3483.18	2.09756097560976	2
chr1	84000001	85000000	1000000	+	chr1:84000000-85000000	7383.32	7383.32	1.9870702321481	2
chr1	85000001	86000000	1000000	+	chr1:85000000-86000000	9665.87	9665.87	1.72112841610344	2
chr1	86000001	87000000	1000000	+	chr1:86000000-87000000	8162.26	8162.26	1.808698207464	2
chr1	87000001	88000000	1000000	+	chr1:87000000-88000000	10757.64	10757.64	2.0476050543638	2
chr1	88000001	89000000	1000000	+	chr1:88000000-89000000	6282.97	6282.97	1.80487804878049	2
chr1	89000001	90000000	1000000	+	chr1:89000000-90000000	10135.26	10135.26	1.91243020863944	2
chr1	90000001	91000000	1000000	+	chr1:90000000-91000000	9733.72	9733.72	2.07052600646488	2
chr1	91000001	92000000	1000000	+	chr1:91000000-92000000	9267.98	9267.98	1.7155451072583	2
chr1	92000001	93000000	1000000	+	chr1:92000000-93000000	13206.96	13206.96	1.8513076697032	2
chr1	93000001	94000000	1000000	+	chr1:93000000-94000000	14499.2	14499.2	1.64208051719071	2
chr1	94000001	95000000	1000000	+	chr1:94000000-95000000	10194.89	10194.89	1.77960622979724	2
chr1	95000001	96000000	1000000	+	chr1:95000000-96000000	11032.05	11032.05	1.88098736409051	2
chr1	96000001	97000000	1000000	+	chr1:96000000-97000000	8585.62	8585.62	2.26182779900088	2
chr1	97000001	98000000	1000000	+	chr1:97000000-98000000	7199.97	7199.97	1.94005289450485	2
chr1	98000001	99000000	1000000	+	chr1:98000000-99000000	5552.89	5552.89	1.88892153981781	2
