chr	start	end	width	strand	name	raw	cor	N	Ns
chr1	1	1000000	1000000	+	chr1:0-1000000	5043.4	5043.4	2.14866204162537	2
chr1	1000001	2000000	1000000	+	chr1:1000000-2000000	25239.24	25239.24	1.83491434234744	2
chr1	2000001	3000000	1000000	+	chr1:2000000-3000000	26295.68	26295.68	2.04077587427439	2
chr1	3000001	4000000	1000000	+	chr1:3000000-4000000	24286.12	24286.12	2.06173014299873	2
chr1	4000001	5000000	1000000	+	chr1:4000000-5000000	20923.12	20923.12	2.10760300155741	2
chr1	5000001	6000000	1000000	+	chr1:5000000-6000000	18307.76	18307.76	1.96686960215206	2
chr1	6000001	7000000	1000000	+	chr1:6000000-7000000	26128.82	26128.82	1.90967011185049	2
chr1	7000001	8000000	1000000	+	chr1:7000000-8000000	23570.1	23570.1	2.03879371371938	2
chr1	8000001	9000000	1000000	+	chr1:8000000-9000000	23428.29	23428.29	1.92156307518052	2
chr1	9000001	10000000	1000000	+	chr1:9000000-10000000	32578.69	32578.69	1.94846382556987	2
chr1	10000001	11000000	1000000	+	chr1:10000000-11000000	28308.25	28308.25	2.04049270848082	2
chr1	11000001	12000000	1000000	+	chr1:11000000-12000000	32033.46	32033.46	2.08806456180093	2
chr1	12000001	13000000	1000000	+	chr1:12000000-13000000	20968.45	20968.45	1.95497663882203	2
chr1	13000001	14000000	1000000	+	chr1:13000000-14000000	4514.28	4514.28	1.84624097409033	2
chr1	14000001	15000000	1000000	+	chr1:14000000-15000000	13177.19	13177.19	2.01387512388503	2
chr1	15000001	16000000	1000000	+	chr1:15000000-16000000	23016.25	23016.25	1.96573693897777	2
chr1	16000001	17000000	1000000	+	chr1:16000000-17000000	29362.14	29362.14	2.09032988814951	2
chr1	17000001	18000000	1000000	+	chr1:17000000-18000000	22999.27	22999.27	2.02038793713719	2
chr1	18000001	19000000	1000000	+	chr1:18000000-19000000	20935.28	20935.28	2.10193968568597	2
chr1	19000001	20000000	1000000	+	chr1:19000000-20000000	24260.77	24260.77	1.93515503327198	2
chr1	20000001	21000000	1000000	+	chr1:20000000-21000000	22914.75	22914.75	2.05436783236585	2
chr1	21000001	22000000	1000000	+	chr1:21000000-22000000	26282.22	26282.22	1.97593090754637	2
chr1	22000001	23000000	1000000	+	chr1:22000000-23000000	24690.58	24690.58	1.94591533342772	2
chr1	23000001	24000000	1000000	+	chr1:23000000-24000000	22984.96	22984.96	1.87172589551182	2
chr1	24000001	25000000	1000000	+	chr1:24000000-25000000	21680.76	21680.76	1.82188871584313	2
chr1	25000001	26000000	1000000	+	chr1:25000000-26000000	22986.72	22986.72	1.99122186039926	2
chr1	26000001	27000000	1000000	+	chr1:26000000-27000000	27023.7	27023.7	1.89494549058474	2
chr1	27000001	28000000	1000000	+	chr1:27000000-28000000	27394.15	27394.15	1.9583746283449	2
chr1	28000001	29000000	1000000	+	chr1:28000000-29000000	27384.72	27384.72	1.85020529520034	2
chr1	29000001	30000000	1000000	+	chr1:29000000-30000000	21033.34	21033.34	1.80263344188022	2
chr1	30000001	31000000	1000000	+	chr1:30000000-31000000	18639.49	18639.49	2.06144697720515	2
